page,chars,text
pages/relationship-growth/index,96,"= 2}}"" canvas-id=""growthChart"" class=""chart-canvas"" width=""620"" height=""300"" aria-label=""变化折线图"">"
pages/assessment-result/index,94,"= 3}}"" canvas-id=""profileRadarCanvas"" class=""radar-canvas"" aria-label=""本次画像维度轮廓图，具体维度见下方文字说明"">"
