rank,page,density_score,source_bytes,wxml_bytes,section_count,card_count,visible_literal_chars,text_node_count,longest_text_node_chars,title_explanation_count,button_count,tappable_view_count,action_count,unique_handler_count,chart_count,metric_count,recommendation_hits,risk_hits,boundary_hits,status_hits,terminology_burden,repetition_count,conditional_count,decision_load,api_call_count,text_density,action_density,visual_density,terminology,repetition,decision_load_score
35,pages/program-list/index,16.2,5324,2155,0,1,100,9,24,6,0,1,2,2,0,2,0,0,0,5,2,0,5,4,0,17.5,12.5,6.2,50.0,0.0,13.9
36,pages/assessment-detail/index,16.1,17690,3129,0,3,91,7,32,4,2,1,3,4,0,2,1,0,1,2,0,0,10,8,3,18.8,22.2,8.8,0.0,12.5,27.7
37,pages/message-detail/index,15.8,6084,1911,2,2,85,5,60,2,2,0,3,3,0,0,0,5,1,4,0,0,5,6,2,27.2,18.8,8.8,0.0,12.5,16.9
38,pages/messages/index,13.0,6799,2393,1,2,100,9,26,4,2,0,3,3,0,0,0,1,1,2,0,0,5,6,1,18.2,18.8,5.6,0.0,12.5,16.9
39,pages/relationship-narrative/index,10.2,3826,1877,0,6,58,10,10,3,0,0,1,1,0,0,1,0,0,2,1,0,4,3,1,11.4,6.3,7.5,25.0,0.0,10.8
40,pages/emergency-resources/index,10.1,3365,1093,1,3,116,6,48,3,1,0,1,1,0,0,0,5,1,0,0,0,0,2,0,24.9,6.3,6.9,0.0,12.5,3.0
41,pages/therapeutic-assessment-action-review/index,0.9,1031,733,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.3,0.0,0.0,0.0,1.5
42,pages/therapeutic-assessment-boundary/index,0.9,963,670,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.3,0.0,0.0,0.0,1.5
43,pages/therapeutic-assessment-feedback-check/index,0.9,1086,790,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.3,0.0,0.0,0.0,1.5
44,pages/therapeutic-assessment-issue/index,0.9,957,670,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.3,0.0,0.0,0.0,1.5
45,pages/therapeutic-assessment-recent-event/index,0.9,970,670,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.3,0.0,0.0,0.0,1.5
46,pages/therapeutic-assessment-resources/index,0.9,964,670,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.3,0.0,0.0,0.0,1.5
47,pages/therapeutic-assessment-sharing/index,0.9,962,670,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.3,0.0,0.0,0.0,1.5
48,pages/therapeutic-assessment-summary/index,0.9,962,670,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.3,0.0,0.0,0.0,1.5
